"name","company","gender","age","age_groups","bookings_cnt","total_spending","users_seg","first_booking_date","latest_booking_date","life_span_years","recency_in_years","avg_booking_value","avg_yearly_spend"
"Wesley Collins","Acme Factory","n/a",23,"20-29","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Alex Branhan","Wonka Company","n/a",49,"40-49","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Jessica Godina","Acme Factory","n/a",30,"30-39","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Nola Harris","Acme Factory","Female",54,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Arthur Mckinnis","4You","n/a",25,"20-29","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Alfred Atkinson","4You","n/a",61,"60-69","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Gary Schwab","4You","Male",29,"20-29","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Maureen Burns","Monsters CYA","Female",34,"30-39","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Alva Johnson","Umbrella LTDA","Male",59,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Mary Parnell","Monsters CYA","n/a",53,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Daniel Marin","Acme Factory","Male",43,"40-49","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Ida Turzak","4You","Female",56,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Chris Dougherty","Acme Factory","n/a",40,"40-49","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Ronald Markus","Wonka Company","n/a",63,"60-69","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Edna Ortiz","Monsters CYA","n/a",26,"20-29","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Alexander Carter","4You","Male",58,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Kristina Schuetz","4You","Female",48,"40-49","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Robert White","Monsters CYA","n/a",22,"20-29","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Robert Collins","4You","Male",61,"60-69","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"John Parks","Acme Factory","n/a",36,"30-39","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Jeffery Gill","4You","Male",53,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Eddie Hofman","Umbrella LTDA","n/a",57,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Nichelle Kercher","Umbrella LTDA","Female",38,"30-39","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Dorothy Woods","Umbrella LTDA","n/a",60,"60-69","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Tina Heath","Wonka Company","n/a",29,"20-29","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Steven Napier","Acme Factory","Male",57,"50-59","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Laura Webb","Wonka Company","Female",46,"40-49","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Patrick Obrien","Wonka Company","n/a",32,"30-39","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Curtis Sexton","4You","Male",33,"30-39","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Elma Gonzales","Monsters CYA","Female",40,"40-49","0",NULL,"New",NULL,NULL,NULL,NULL,NULL,NULL
"Helen Warner","Umbrella LTDA","Female",24,"20-29","74","198918.29","VIP","2019-10-17","2023-07-06","3.72","1.70","2688.09","53472.66"
